Date,Gold: (Worldwide)
2017-11-26,59
2017-12-03,59
2017-12-10,63
2017-12-17,63
2017-12-24,64
2017-12-31,58
2018-01-07,59
2018-01-14,60
2018-01-21,55
2018-01-28,56
2018-02-04,60
2018-02-11,65
2018-02-18,60
2018-02-25,54
2018-03-04,53
2018-03-11,57
2018-03-18,54
2018-03-25,57
2018-04-01,57
2018-04-08,59
2018-04-15,56
2018-04-22,54
2018-04-29,53
2018-05-06,52
2018-05-13,54
2018-05-20,55
2018-05-27,54
2018-06-03,51
2018-06-10,51
2018-06-17,52
2018-06-24,53
2018-07-01,49
2018-07-08,52
2018-07-15,59
2018-07-22,59
2018-07-29,56
2018-08-05,57
2018-08-12,67
2018-08-19,61
2018-08-26,57
2018-09-02,57
2018-09-09,53
2018-09-16,53
2018-09-23,53
2018-09-30,53
2018-10-07,56
2018-10-14,58
2018-10-21,56
2018-10-28,58
2018-11-04,58
2018-11-11,58
2018-11-18,60
2018-11-25,61
2018-12-02,58
2018-12-09,60
2018-12-16,60
2018-12-23,63
2018-12-30,60
2019-01-06,59
2019-01-13,58
2019-01-20,59
2019-01-27,58
2019-02-03,56
2019-02-10,57
2019-02-17,58
2019-02-24,54
2019-03-03,61
2019-03-10,58
2019-03-17,57
2019-03-24,55
2019-03-31,55
2019-04-07,55
2019-04-14,55
2019-04-21,55
2019-04-28,54
2019-05-05,56
2019-05-12,56
2019-05-19,54
2019-05-26,56
2019-06-02,54
2019-06-09,53
2019-06-16,64
2019-06-23,68
2019-06-30,68
2019-07-07,65
2019-07-14,59
2019-07-21,59
2019-07-28,64
2019-08-04,67
2019-08-11,70
2019-08-18,68
2019-08-25,65
2019-09-01,69
2019-09-08,70
2019-09-15,71
2019-09-22,69
2019-09-29,64
2019-10-06,65
2019-10-13,63
2019-10-20,66
2019-10-27,61
2019-11-03,63
2019-11-10,66
2019-11-17,65
2019-11-24,65
2019-12-01,63
2019-12-08,64
2019-12-15,65
2019-12-22,66
2019-12-29,71
2020-01-05,74
2020-01-12,68
2020-01-19,63
2020-01-26,61
2020-02-02,64
2020-02-09,64
2020-02-16,67
2020-02-23,74
2020-03-01,71
2020-03-08,74
2020-03-15,98
2020-03-22,74
2020-03-29,62
2020-04-05,59
2020-04-12,59
2020-04-19,66
2020-04-26,62
2020-05-03,61
2020-05-10,63
2020-05-17,63
2020-05-24,62
2020-05-31,63
2020-06-07,65
2020-06-14,63
2020-06-21,64
2020-06-28,69
2020-07-05,69
2020-07-12,69
2020-07-19,75
2020-07-26,85
2020-08-02,87
2020-08-09,100
2020-08-16,89
2020-08-23,86
2020-08-30,82
2020-09-06,78
2020-09-13,74
2020-09-20,79
2020-09-27,78
2020-10-04,72
2020-10-11,72
2020-10-18,74
2020-10-25,71
2020-11-01,65
2020-11-08,81
2020-11-15,71
2020-11-22,86
2020-11-29,89
2020-12-06,78
2020-12-13,76
2020-12-20,75
2020-12-27,77
2021-01-03,79
2021-01-10,75
2021-01-17,74
2021-01-24,76
2021-01-31,90
2021-02-07,83
2021-02-14,86
2021-02-21,88
2021-02-28,99
2021-03-07,98
2021-03-14,87
2021-03-21,83
2021-03-28,79
2021-04-04,81
2021-04-11,75
2021-04-18,72
2021-04-25,72
2021-05-02,70
2021-05-09,67
2021-05-16,69
2021-05-23,70
2021-05-30,66
2021-06-06,66
2021-06-13,71
2021-06-20,74
2021-06-27,73
2021-07-04,71
2021-07-11,75
2021-07-18,71
2021-07-25,93
2021-08-01,90
2021-08-08,81
2021-08-15,74
2021-08-22,68
2021-08-29,69
2021-09-05,63
2021-09-12,69
2021-09-19,73
2021-09-26,69
2021-10-03,71
2021-10-10,67
2021-10-17,67
2021-10-24,70
2021-10-31,67
2021-11-07,68
2021-11-14,70
2021-11-21,70
2021-11-28,67
2021-12-05,69
2021-12-12,65
2021-12-19,70
2021-12-26,69
2022-01-02,67
2022-01-09,63
2022-01-16,61
2022-01-23,64
2022-01-30,66
2022-02-06,68
2022-02-13,72
2022-02-20,80
2022-02-27,77
2022-03-06,93
2022-03-13,73
2022-03-20,74
2022-03-27,73
2022-04-03,68
2022-04-10,69
2022-04-17,70
2022-04-24,72
2022-05-01,75
2022-05-08,70
2022-05-15,71
2022-05-22,66
2022-05-29,65
2022-06-05,65
2022-06-12,70
2022-06-19,67
2022-06-26,67
2022-07-03,68
2022-07-10,72
2022-07-17,75
2022-07-24,69
2022-07-31,74
2022-08-07,70
2022-08-14,69
2022-08-21,70
2022-08-28,70
2022-09-04,63
2022-09-11,68
2022-09-18,75
2022-09-25,76
2022-10-02,67
2022-10-09,69
2022-10-16,72
2022-10-23,68
2022-10-30,72
2022-11-06,64
2022-11-13,66
2022-11-20,68
